date,landfill_name,city,msw_received_tonnes,organic_fraction,ch4_emitted_tonnes,ambient_temp,sensor_status
2023-01-01,Ghazipur,Delhi,2640.7,0.43,116.98,37.4,ACTIVE
2023-01-01,Bhalswa,Delhi,1896.1,0.49,85.13,27.4,ACTIVE
2023-01-01,Okhla,Delhi,1264.4,0.53,57.28,26.3,ACTIVE
2023-01-01,Deonar,Mumbai,3084.1,0.47,137.86,30.6,ACTIVE
2023-01-01,Pirana,Ahmedabad,2206.8,0.51,99.53,28.8,ACTIVE
2023-01-01,Perungudi,Chennai,2657.7,0.42,117.47,31.8,ACTIVE
2023-01-02,Ghazipur,Delhi,2873.3,0.42,127.0,22.9,ACTIVE
2023-01-02,Bhalswa,Delhi,2012.9,0.46,89.78,39.4,ACTIVE
2023-01-02,Okhla,Delhi,1323.4,0.54,60.08,23.2,ACTIVE
2023-01-02,Deonar,Mumbai,2852.4,0.59,130.93,16.4,CALIBRATING
2023-01-02,Pirana,Ahmedabad,2659.9,0.52,120.23,17.1,ACTIVE
2023-01-02,Perungudi,Chennai,2128.0,0.57,97.25,22.7,CALIBRATING
2023-01-03,Ghazipur,Delhi,2997.8,0.59,137.6,27.0,ACTIVE
2023-01-03,Bhalswa,Delhi,1869.8,0.52,84.51,24.7,ACTIVE
2023-01-03,Okhla,Delhi,1298.4,0.48,58.17,23.1,ACTIVE
2023-01-03,Deonar,Mumbai,3408.3,0.49,153.03,39.4,ACTIVE
2023-01-03,Pirana,Ahmedabad,2196.2,0.52,99.27,27.5,ACTIVE
2023-01-03,Perungudi,Chennai,2321.9,0.44,103.09,26.5,ACTIVE
2023-01-04,Ghazipur,Delhi,2923.5,0.59,134.19,29.8,ACTIVE
2023-01-04,Bhalswa,Delhi,1996.2,0.6,91.83,20.1,ACTIVE
2023-01-04,Okhla,Delhi,1023.0,0.49,45.93,26.1,ACTIVE
2023-01-04,Deonar,Mumbai,3135.0,0.41,138.25,15.7,ACTIVE
2023-01-04,Pirana,Ahmedabad,2359.4,0.5,106.17,21.2,ACTIVE
2023-01-04,Perungudi,Chennai,2614.0,0.53,118.41,26.2,ACTIVE
2023-01-05,Ghazipur,Delhi,2591.9,0.5,116.64,28.6,ACTIVE
2023-01-05,Bhalswa,Delhi,2081.8,0.5,93.68,34.5,ACTIVE
2023-01-05,Okhla,Delhi,1090.6,0.48,48.86,21.9,ACTIVE
2023-01-05,Deonar,Mumbai,3087.3,0.56,140.78,21.0,ACTIVE
2023-01-05,Pirana,Ahmedabad,2751.3,0.58,126.01,30.7,ACTIVE
2023-01-05,Perungudi,Chennai,2371.9,0.45,105.55,42.2,ACTIVE
2023-01-06,Ghazipur,Delhi,3199.0,0.47,143.0,43.6,CALIBRATING
2023-01-06,Bhalswa,Delhi,1778.7,0.5,80.04,16.9,ACTIVE
2023-01-06,Okhla,Delhi,1299.7,0.55,59.14,29.6,ACTIVE
2023-01-06,Deonar,Mumbai,3002.5,0.44,133.31,20.6,ACTIVE
2023-01-06,Pirana,Ahmedabad,2426.4,0.56,110.64,15.5,ACTIVE
2023-01-06,Perungudi,Chennai,2533.0,0.48,113.48,24.0,ACTIVE
2023-01-07,Ghazipur,Delhi,3024.6,0.49,135.8,37.7,ACTIVE
2023-01-07,Bhalswa,Delhi,1728.2,0.57,78.98,36.1,ACTIVE
2023-01-07,Okhla,Delhi,1209.5,0.55,55.03,36.3,ACTIVE
2023-01-07,Deonar,Mumbai,2668.5,0.48,119.55,42.1,ACTIVE
2023-01-07,Pirana,Ahmedabad,2778.7,0.42,122.82,33.4,ACTIVE
2023-01-07,Perungudi,Chennai,2547.0,0.59,116.91,17.5,ACTIVE
2023-01-08,Ghazipur,Delhi,2663.0,0.52,120.37,43.6,OFFLINE
2023-01-08,Bhalswa,Delhi,2058.4,0.48,92.22,16.4,ACTIVE
2023-01-08,Okhla,Delhi,1371.2,0.44,60.88,16.4,ACTIVE
2023-01-08,Deonar,Mumbai,2997.7,0.44,133.1,42.7,ACTIVE
2023-01-08,Pirana,Ahmedabad,2596.4,0.53,117.62,20.8,ACTIVE
2023-01-08,Perungudi,Chennai,2339.7,0.45,104.12,20.2,ACTIVE
2023-01-09,Ghazipur,Delhi,2877.6,0.52,130.07,27.6,ACTIVE
2023-01-09,Bhalswa,Delhi,2267.4,0.56,103.39,40.2,ACTIVE
2023-01-09,Okhla,Delhi,1175.5,0.46,52.43,25.4,ACTIVE
2023-01-09,Deonar,Mumbai,2710.8,0.56,123.61,24.4,ACTIVE
2023-01-09,Pirana,Ahmedabad,2296.1,0.48,102.87,37.9,ACTIVE
2023-01-09,Perungudi,Chennai,2058.7,0.41,90.79,26.2,ACTIVE
2023-01-10,Ghazipur,Delhi,2421.9,0.41,106.81,21.7,ACTIVE
2023-01-10,Bhalswa,Delhi,1758.7,0.49,78.97,17.2,ACTIVE
2023-01-10,Okhla,Delhi,1368.3,0.57,62.53,19.6,CALIBRATING
2023-01-10,Deonar,Mumbai,3317.5,0.46,147.96,16.7,ACTIVE
2023-01-10,Pirana,Ahmedabad,2431.8,0.5,109.43,19.1,ACTIVE
2023-01-10,Perungudi,Chennai,2178.4,0.45,96.94,19.4,ACTIVE
2023-01-11,Ghazipur,Delhi,2486.2,0.57,113.62,27.8,ACTIVE
2023-01-11,Bhalswa,Delhi,2006.9,0.44,89.11,41.3,ACTIVE
2023-01-11,Okhla,Delhi,1147.2,0.45,51.05,23.8,ACTIVE
2023-01-11,Deonar,Mumbai,3033.5,0.45,134.99,32.3,ACTIVE
2023-01-11,Pirana,Ahmedabad,2800.0,0.57,127.96,29.9,CALIBRATING
2023-01-11,Perungudi,Chennai,2735.3,0.52,123.64,36.1,CALIBRATING
2023-01-12,Ghazipur,Delhi,2659.3,0.46,118.6,30.3,ACTIVE
2023-01-12,Bhalswa,Delhi,1890.5,0.55,86.02,43.9,CALIBRATING
2023-01-12,Okhla,Delhi,1330.9,0.41,58.69,37.7,ACTIVE
2023-01-12,Deonar,Mumbai,3415.3,0.53,154.71,30.9,ACTIVE
2023-01-12,Pirana,Ahmedabad,2450.3,0.56,111.73,32.1,ACTIVE
2023-01-12,Perungudi,Chennai,2082.6,0.55,94.76,26.7,ACTIVE
2023-01-13,Ghazipur,Delhi,2449.3,0.4,107.77,40.6,ACTIVE
2023-01-13,Bhalswa,Delhi,1868.4,0.6,85.95,39.0,ACTIVE
2023-01-13,Okhla,Delhi,1067.0,0.43,47.27,37.1,ACTIVE
2023-01-13,Deonar,Mumbai,3049.8,0.43,135.11,18.8,ACTIVE
