filename,category,description,degradable,landfill_class,doc_fraction,estimated_mass_kg,methane_factor_kg_per_kg,ch4_kg,co2e_kg,energy_kwh,carbon_credits,hex_color,relative_path
Cardboard_1.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_1.jpg
Cardboard_10.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_10.jpg
Cardboard_100.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_100.jpg
Cardboard_101.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_101.jpg
Cardboard_102.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_102.jpg
Cardboard_103.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_103.jpg
Cardboard_104.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_104.jpg
Cardboard_105.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_105.jpg
Cardboard_106.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_106.jpg
Cardboard_107.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_107.jpg
Cardboard_108.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_108.jpg
Cardboard_109.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_109.jpg
Cardboard_11.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_11.jpg
Cardboard_110.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_110.jpg
Cardboard_111.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_111.jpg
Cardboard_112.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_112.jpg
Cardboard_113.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_113.jpg
Cardboard_114.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_114.jpg
Cardboard_115.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_115.jpg
Cardboard_116.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_116.jpg
Cardboard_117.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_117.jpg
Cardboard_118.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_118.jpg
Cardboard_119.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_119.jpg
Cardboard_12.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_12.jpg
Cardboard_120.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_120.jpg
Cardboard_121.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_121.jpg
Cardboard_122.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_122.jpg
Cardboard_123.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_123.jpg
Cardboard_124.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_124.jpg
Cardboard_125.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_125.jpg
Cardboard_126.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_126.jpg
Cardboard_127.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_127.jpg
Cardboard_128.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_128.jpg
Cardboard_129.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_129.jpg
Cardboard_13.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_13.jpg
Cardboard_130.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_130.jpg
Cardboard_131.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_131.jpg
Cardboard_132.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_132.jpg
Cardboard_133.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_133.jpg
Cardboard_134.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_134.jpg
Cardboard_135.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_135.jpg
Cardboard_136.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_136.jpg
Cardboard_137.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_137.jpg
Cardboard_138.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_138.jpg
Cardboard_139.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_139.jpg
Cardboard_14.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_14.jpg
Cardboard_140.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_140.jpg
Cardboard_141.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_141.jpg
Cardboard_142.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_142.jpg
Cardboard_143.jpg,Cardboard,"Corrugated cardboard boxes, packaging material",True,Slow-degrading organic,0.4,0.5,0.08,0.04,1.12,0.556,0.00112,#8d6e63,RealWaste/Cardboard/Cardboard_143.jpg
